,Simulation,Timestep,H,A,ALPHA,BETA,CQY,CUE_24,DCG,CGR,TCB,TEB,DOP,VP_SAT,VP_AIR,VPD,P_GROSS,P_NET,g_S,g_A,g_C,DTR,T_LIGHT,T_DARK,RH,CO2,PPFD
240,240,29,20.71966902880542,0.93,0.03629242552859056,0.0580678808457449,0.06243858155456441,0.625,1.9196684659234025,57.63804568935015,1074.4139543097497,1020.6325014914336,2.073241943197275,1.5321606165764479,80.7381134254451,-79.20595280886866,41.17758752172672,27.84655650836976,21.911018039467784,2.5,2.24396807253614,-2368.874678646464,13.33208501466164,8.33208501466164,52.69559375951799,1064.7056633337306,709.1284703692461
241,241,29,20.71966902880542,0.93,0.03629242552859056,0.0580678808457449,0.06243858155456441,0.625,1.9196684659234025,57.63804568935015,1074.4139543097497,1020.6325014914336,2.073241943197275,3.936600614527852,207.44150677662856,-203.5049061621007,41.17758752172672,27.84655650836976,56.86417382217325,2.5,2.3947176453811685,-6495.26370110646,28.657433531278066,23.657433531278066,52.69559375951799,1064.7056633337306,709.1284703692461
242,242,29,20.71966902880542,0.93,0.03629242552859056,0.0580678808457449,0.06243858155456441,0.625,1.9196684659234025,57.63804568935015,1074.4139543097497,1020.6325014914336,2.073241943197275,1.5321606165764479,132.3347420046004,-130.80258138802395,41.17758752172672,27.84655650836976,36.13443264995398,2.5,2.338227208960775,-4076.3420069521308,13.33208501466164,8.33208501466164,86.3713246332471,1064.7056633337306,709.1284703692461
243,243,29,20.71966902880542,0.93,0.030349505435416372,0.048559208696666196,0.05221420289964107,0.625,1.6053208814837325,48.19975946654906,826.2870643948988,784.9359038624655,1.7337465520024313,1.5321606165764479,80.7381134254451,-79.20595280886866,34.43471738540789,23.286655708437525,42.396719276780374,2.5,2.360791610151516,-2492.2009966605137,13.33208501466164,8.33208501466164,52.69559375951799,460.14583256230435,709.1284703692461
244,244,29,20.71966902880542,0.93,0.0392162165984762,0.06274594655756191,0.06746875973931388,0.625,1.4845409507455158,44.57334204613411,720.8882551215048,684.8156600013175,1.6033042268051572,1.5321606165764479,80.7381134254451,-79.20595280886866,31.843943896586378,21.534631738631408,16.94449022293392,2.5,2.1785721853161055,-2299.838642341333,13.33208501466164,8.33208501466164,52.69559375951799,1064.7056633337306,507.5059927157743
245,245,29,9.405271575749598,0.93,0.03629242552859056,0.0580678808457449,0.06243858155456441,0.625,0.8713943853210849,26.163616419265573,487.7083225127569,463.2953278461239,0.9411059361467717,1.5321606165764479,80.7381134254451,-79.20595280886866,41.17758752172672,35.126237623663634,27.639023374376432,2.5,2.292627653445678,-1098.619909693721,13.33208501466164,8.33208501466164,52.69559375951799,1064.7056633337306,709.1284703692461
246,246,29,9.405271575749598,0.93,0.03274581032174606,0.05239329651479369,0.056336877972896444,0.625,0.5626920220950524,16.894827963403948,241.266961960091,229.19595174251177,0.6077073838626567,1.5321606165764479,132.3347420046004,-130.80258138802395,26.589911959392293,22.682328472621098,68.10381622498878,2.5,2.4114778728095447,-1908.3398185882274,13.33208501466164,8.33208501466164,86.3713246332471,460.14583256230435,507.5059927157743
247,247,29,9.405271575749598,0.93,0.03274581032174606,0.05239329651479369,0.056336877972896444,0.625,0.5626920220950524,16.894827963403948,241.266961960091,229.19595174251177,0.6077073838626567,3.936600614527852,207.44150677662856,-203.5049061621007,26.589911959392293,22.682328472621098,107.17387709631129,2.5,2.443012865365273,-3007.8540133914858,28.657433531278066,23.657433531278066,52.69559375951799,460.14583256230435,507.5059927157743
248,248,29,9.405271575749598,0.93,0.0392162165984762,0.06274594655756191,0.06746875973931388,0.625,0.6738771158782397,20.233160404244146,327.23253473595264,310.8581151892048,0.727787285148499,3.936600614527852,340.00940962882515,-336.0728090142973,31.843943896586378,27.164241702987493,91.11982276999505,2.5,2.433240634140539,-4947.371835902177,28.657433531278066,23.657433531278066,86.3713246332471,1064.7056633337306,507.5059927157743
249,249,29,9.405271575749598,0.93,0.030349505435416372,0.048559208696666196,0.05221420289964107,0.625,0.7287027044488816,21.87929870107767,375.0761766203262,356.30565985969344,0.7869989208047922,3.936600614527852,340.00940962882515,-336.0728090142973,34.43471738540789,29.374281937846217,227.99042613278195,2.5,2.472883906265159,-5027.976279721038,28.657433531278066,23.657433531278066,86.3713246332471,460.14583256230435,709.1284703692461
250,250,29,20.71966902880542,0.93,0.03274581032174606,0.05239329651479369,0.056336877972896444,0.625,1.2396018944332874,37.21904688035945,531.5074167861076,504.91516641489613,1.3387700459879506,3.936600614527852,340.00940962882515,-336.0728090142973,26.589911959392293,17.98156547027224,139.56510606034166,2.5,2.4560060864112168,-11000.955408400754,28.657433531278066,23.657433531278066,86.3713246332471,460.14583256230435,507.5059927157743
251,251,29,9.405271575749598,0.93,0.03274581032174606,0.05239329651479369,0.056336877972896444,0.625,0.5626920220950524,16.894827963403948,241.266961960091,229.19595174251177,0.6077073838626567,3.936600614527852,340.00940962882515,-336.0728090142973,26.589911959392293,22.682328472621098,176.05038806050865,2.5,2.4649958755738917,-5011.937988918578,28.657433531278066,23.657433531278066,86.3713246332471,460.14583256230435,507.5059927157743
252,252,29,12.177273247542681,0.93,0.037075381883005284,0.05932061101280845,0.06378560323957898,0.625,0.6681296406859601,20.060592461595952,259.6840290742047,246.69245951788852,0.721580011940837,3.6492382003715655,304.01801407104824,-300.3687758706767,24.385303748641782,19.7455145772115,93.40133832855692,2.5,2.4348288552701156,-5728.7260115708095,27.357976024878422,22.357976024878422,83.30999440926962,674.9952980756646,411.07640889566244
253,253,29,12.177273247542681,0.93,0.037075381883005284,0.05932061101280845,0.06378560323957898,0.625,0.6681296406859601,20.060592461595952,259.6840290742047,246.69245951788852,0.721580011940837,2.029921825596092,169.11277594166478,-167.0828541160687,24.385303748641782,19.7455145772115,51.82161214038416,2.5,2.3849445045215516,-3121.3681190280463,17.71409274181821,12.71409274181821,83.30999440926962,674.9952980756646,411.07640889566244
