,Simulation,Timestep,A,CQY,CUE_24,DCG,CGR,TCB,TEB,VP_SAT,VP_AIR,VPD,P_GROSS,P_NET,g_S,g_A,g_C,DTR,T_LIGHT,T_DARK,RH,CO2
158,158,29,0.6737595511822926,0.054550155508302334,0.625,0.4161781841554071,12.495749979266096,109.87387958719961,104.37756446349688,6.580930706400415,428.78876633890206,-422.20783563250166,11.560505115427974,8.67037883657098,125.97544500877709,2.5,2.451352571695136,-10652.139041731049,37.8125,37.8125,65.15625,309.375
159,159,29,0.7189235643331852,0.05659021811001947,0.625,0.460683300731845,13.832016104473645,121.62353395617501,115.5394558150098,6.580930706400415,428.78876633890206,-422.20783563250166,12.79675835366236,9.59756876524677,117.99358401690483,2.5,2.448130018282773,-10638.135716622184,37.8125,37.8125,65.15625,365.625
160,160,29,0.7335339692831325,0.05724230121515927,0.625,0.47546187456175226,14.27574278371661,125.52517825969147,119.24592482597,4.030116964574483,285.2567163987876,-281.22659943421314,13.207274293382007,9.905455720036505,77.15802182438743,2.5,2.4215396032080907,-7008.946258409699,29.0625,29.0625,70.78125,384.375
161,161,29,0.7335339692831325,0.05724230121515927,0.625,0.47546187456175226,14.27574278371661,125.52517825969147,119.24592482597,5.738854677867946,406.20330766784053,-400.4644529899726,13.207274293382007,9.905455720036505,109.82182034822407,2.5,2.4443563149117105,-10074.726013275484,35.3125,35.3125,70.78125,384.375
162,162,29,0.7335339692831325,0.05724230121515927,0.625,0.47546187456175226,14.27574278371661,125.52517825969147,119.24592482597,4.030116964574483,247.47436985590184,-243.44425289132735,13.207274293382007,9.905455720036505,66.89562353739349,2.5,2.409936683591693,-6038.233695030912,29.0625,29.0625,61.40625,384.375
163,163,29,0.6991327365750003,0.05569904459931143,0.625,0.44094636550836613,13.239414624388692,116.41284842116603,110.58942886253682,4.030116964574483,285.2567163987876,-281.22659943421314,12.248510153010171,9.186382614757628,80.74762681073898,2.5,2.424922784715423,-7018.738597686712,29.0625,29.0625,70.78125,340.625
164,164,29,0.6991327365750003,0.05569904459931143,0.625,0.44094636550836613,13.239414624388692,116.41284842116603,110.58942886253682,4.030116964574483,247.47436985590184,-243.44425289132735,12.248510153010171,9.186382614757628,70.00779331750346,2.5,2.4138023691793795,-6047.919390563449,29.0625,29.0625,61.40625,340.625
165,165,29,0.6991327365750003,0.05569904459931143,0.625,0.44094636550836613,13.239414624388692,116.41284842116603,110.58942886253682,5.738854677867946,406.20330766784053,-400.4644529899726,12.248510153010171,9.186382614757628,114.93103575591597,2.5,2.4467772726369303,-10084.70429901988,35.3125,35.3125,70.78125,340.625
166,166,29,0.7335339692831325,0.05724230121515927,0.625,0.47546187456175226,14.27574278371661,125.52517825969147,119.24592482597,5.738854677867946,352.4015450628285,-346.66269038496057,13.207274293382007,9.905455720036505,95.2082463668353,2.5,2.4360340582049234,-8691.509665897984,35.3125,35.3125,61.40625,384.375
167,167,29,0.6991327365750003,0.05569904459931143,0.625,0.44094636550836613,13.239414624388692,116.41284842116603,110.58942886253682,5.738854677867946,352.4015450628285,-346.66269038496057,12.248510153010171,9.186382614757628,99.63759781752474,2.5,2.4388080380432875,-8701.406930058532,35.3125,35.3125,61.40625,340.625
